Date,Close,Date,Close,Date,Close
11/11/2016 16:00,771.75,11/11/2016 16:00,37.71,11/11/2016 16:00,35.45
11/14/2016 16:00,753.22,11/14/2016 16:00,36.29,11/14/2016 16:00,35.32
11/15/2016 16:00,775.16,11/15/2016 16:00,36.75,11/15/2016 16:00,35.62
11/16/2016 16:00,779.98,11/16/2016 16:00,36.79,11/16/2016 16:00,35.39
11/17/2016 16:00,786.16,11/17/2016 16:00,37.73,11/17/2016 16:00,36.5
11/18/2016 16:00,775.97,11/18/2016 16:00,37,11/18/2016 16:00,36.29
11/21/2016 16:00,784.8,11/21/2016 16:00,36.9,11/21/2016 16:00,36.3
11/22/2016 16:00,785,11/22/2016 16:00,38.23,11/22/2016 16:00,36.19
11/23/2016 16:00,779,11/23/2016 16:00,38.63,11/23/2016 16:00,36.94
11/25/2016 16:00,780.23,11/25/2016 16:00,39.33,11/25/2016 16:00,36.43
11/28/2016 16:00,785.79,11/28/2016 16:00,39.22,11/28/2016 16:00,35.93
11/29/2016 16:00,789.44,11/29/2016 16:00,37.91,11/29/2016 16:00,36.01
11/30/2016 16:00,775.88,11/30/2016 16:00,37.88,11/30/2016 16:00,35.92
12/1/2016 16:00,764.33,12/1/2016 16:00,36.38,12/1/2016 16:00,33.85
12/2/2016 16:00,764.46,12/2/2016 16:00,36.29,12/2/2016 16:00,33.87
12/5/2016 16:00,778.22,12/5/2016 16:00,37.36,12/5/2016 16:00,34.77
12/6/2016 16:00,776.18,12/6/2016 16:00,37.17,12/6/2016 16:00,37.4
12/7/2016 16:00,791.47,12/7/2016 16:00,38.63,12/7/2016 16:00,37.58
12/8/2016 16:00,795.17,12/8/2016 16:00,38.46,12/8/2016 16:00,36.97
12/9/2016 16:00,809.45,12/9/2016 16:00,38.44,12/9/2016 16:00,36.91
12/12/2016 16:00,807.9,12/12/2016 16:00,38.49,12/12/2016 16:00,36.28
12/13/2016 16:00,815.34,12/13/2016 16:00,39.63,12/13/2016 16:00,36.4
12/14/2016 16:00,817.89,12/14/2016 16:00,39.74,12/14/2016 16:00,36.69
